Measurement,Timestamp
4.65,15:39:48.369344
4.71,15:39:48.369599
4.67,15:39:48.369851
6.64,15:39:48.753404
6.93,15:39:48.753404
5.51,15:39:48.953805
5.38,15:39:49.153521
5.82,15:39:49.353455
6.34,15:39:49.553385
5.39,15:39:49.753372
5.46,15:39:49.953368
6.21,15:39:50.153368
5.84,15:39:50.353392
6.81,15:39:50.553375
6.90,15:39:50.753383
5.51,15:39:50.953330
6.39,15:39:51.153390
6.40,15:39:51.353347
6.43,15:39:51.553504
5.48,15:39:51.753338
5.87,15:39:51.953345
6.86,15:39:52.153456
6.80,15:39:52.353319
5.47,15:39:52.553386
6.13,15:39:52.753353
5.87,15:39:52.953298
6.32,15:39:53.153318
6.33,15:39:53.353302
6.32,15:39:53.553310
5.50,15:39:53.753297
5.85,15:39:53.953652
6.29,15:39:54.153296
6.28,15:39:54.353320
6.28,15:39:54.553274
5.49,15:39:54.753282
5.82,15:39:54.953281
5.52,15:39:55.153296
5.62,15:39:55.353277
5.50,15:39:55.553276
6.17,15:39:55.753241
7.40,15:39:55.953246
6.82,15:39:56.153305
6.38,15:39:56.353255
5.82,15:39:56.553343
6.25,15:39:56.753445
6.89,15:39:56.953249
6.45,15:39:57.153345
6.84,15:39:57.353428
5.55,15:39:57.553267
6.32,15:39:57.753216
7.36,15:39:57.953196
5.46,15:39:58.153201
5.52,15:39:58.353247
5.41,15:39:58.553200
