Measurement,Timestamp
0.76,16:25:12.026572
5.03,16:25:12.158883
5.67,16:25:12.358900
5.39,16:25:12.558919
5.45,16:25:12.758961
5.36,16:25:12.958954
5.69,16:25:13.158971
5.75,16:25:13.358989
5.57,16:25:13.559041
5.70,16:25:13.758943
5.70,16:25:13.959042
5.69,16:25:14.159187
5.71,16:25:14.359077
5.70,16:25:14.559096
5.64,16:25:14.759193
5.59,16:25:14.959189
5.64,16:25:15.159147
5.69,16:25:15.359831
5.62,16:25:15.559220
5.65,16:25:15.759198
5.65,16:25:15.959216
5.61,16:25:16.159235
5.61,16:25:16.359256
5.67,16:25:16.559271
5.73,16:25:16.759287
5.68,16:25:16.959306
5.71,16:25:17.159324
5.65,16:25:17.359373
5.70,16:25:17.559357
5.59,16:25:17.759834
5.66,16:25:17.959394
5.67,16:25:18.159766
5.60,16:25:18.359427
5.60,16:25:18.559473
5.65,16:25:18.760131
5.64,16:25:18.959669
5.62,16:25:19.159523
5.63,16:25:19.359555
5.56,16:25:19.559596
5.66,16:25:19.759590
5.69,16:25:19.959608
5.65,16:25:20.159610
5.64,16:25:20.359926
5.63,16:25:20.559661
5.68,16:25:20.759680
5.71,16:25:20.959704
5.63,16:25:21.159714
5.66,16:25:21.359731
5.60,16:25:21.559748
5.66,16:25:21.759764
5.64,16:25:21.959782
5.66,16:25:22.159873
