Measurement,Timestamp
3.31,16:30:37.292013
3.78,16:30:37.489441
3.97,16:30:37.691844
3.89,16:30:37.891769
3.88,16:30:38.092035
3.76,16:30:38.291653
3.99,16:30:38.491565
3.91,16:30:38.691473
3.79,16:30:38.891396
3.60,16:30:39.091404
3.51,16:30:39.291210
3.80,16:30:39.491150
3.61,16:30:39.691076
3.64,16:30:39.890972
3.63,16:30:40.090902
3.90,16:30:40.290847
3.58,16:30:40.490794
3.65,16:30:40.690686
3.68,16:30:40.890594
3.68,16:30:41.090522
3.86,16:30:41.290446
3.55,16:30:41.490393
3.70,16:30:41.690281
3.65,16:30:41.890367
3.61,16:30:42.090300
3.49,16:30:42.290146
3.64,16:30:42.490052
3.78,16:30:42.689916
3.65,16:30:42.889858
3.77,16:30:43.090258
3.74,16:30:43.289863
3.79,16:30:43.489644
3.67,16:30:43.690518
3.68,16:30:43.889466
3.77,16:30:44.089392
3.76,16:30:44.289296
3.64,16:30:44.489257
3.47,16:30:44.689169
3.66,16:30:44.889184
3.53,16:30:45.089174
3.80,16:30:45.288963
3.70,16:30:45.488970
3.62,16:30:45.688843
3.53,16:30:45.888801
3.67,16:30:46.088770
3.77,16:30:46.288894
3.81,16:30:46.486090
3.64,16:30:46.688529
3.76,16:30:46.888463
3.84,16:30:47.088385
3.85,16:30:47.288312
