Measurement,Timestamp
3.71,15:51:07.539147
3.76,15:51:07.739172
3.75,15:51:07.939724
3.74,15:51:08.139143
3.79,15:51:08.339118
3.67,15:51:08.539106
3.75,15:51:08.739100
3.75,15:51:08.939188
3.69,15:51:09.139107
3.72,15:51:09.339257
3.78,15:51:09.540519
3.73,15:51:09.739500
3.65,15:51:09.939099
3.71,15:51:10.139066
3.64,15:51:10.339095
3.74,15:51:10.539138
3.65,15:51:10.739082
3.65,15:51:10.939101
3.64,15:51:11.139068
3.70,15:51:11.339054
3.66,15:51:11.539086
3.65,15:51:11.739362
3.68,15:51:11.939086
3.67,15:51:12.139064
3.66,15:51:12.339080
3.69,15:51:12.539027
3.68,15:51:12.739039
3.65,15:51:12.939031
3.71,15:51:13.139025
3.65,15:51:13.339053
3.69,15:51:13.539015
3.67,15:51:13.739009
3.68,15:51:13.939026
3.69,15:51:14.139064
3.68,15:51:14.339220
3.67,15:51:14.539386
3.63,15:51:14.739289
3.67,15:51:14.939024
3.65,15:51:15.139016
3.64,15:51:15.338984
3.66,15:51:15.539153
3.64,15:51:15.738990
3.69,15:51:15.938998
3.69,15:51:16.139077
3.68,15:51:16.338972
3.66,15:51:16.538977
3.64,15:51:16.740230
3.67,15:51:16.938954
3.65,15:51:17.138962
3.69,15:51:17.338953
3.65,15:51:17.538961
