Measurement,Timestamp
5.23,16:33:43.400323
4.58,16:33:43.602207
4.52,16:33:43.802133
5.01,16:33:44.002125
4.56,16:33:44.201984
4.56,16:33:44.401911
4.58,16:33:44.601837
4.56,16:33:44.801767
4.53,16:33:45.001689
4.53,16:33:45.201650
4.96,16:33:45.401613
4.60,16:33:45.601619
4.43,16:33:45.801589
4.51,16:33:46.001686
4.55,16:33:46.201258
4.62,16:33:46.401211
4.59,16:33:46.601104
4.51,16:33:46.801180
4.54,16:33:47.001076
4.56,16:33:47.200916
4.49,16:33:47.400885
4.50,16:33:47.600776
4.51,16:33:47.800787
4.57,16:33:48.000682
4.58,16:33:48.200661
4.44,16:33:48.400592
4.50,16:33:48.600431
4.56,16:33:48.800357
4.54,16:33:49.000284
4.57,16:33:49.200210
4.47,16:33:49.400140
4.43,16:33:49.600064
4.59,16:33:49.800038
4.48,16:33:49.999919
4.96,16:33:50.199876
4.65,16:33:50.399807
4.50,16:33:50.599748
4.49,16:33:50.799802
4.62,16:33:51.000030
4.53,16:33:51.199486
4.54,16:33:51.399467
4.66,16:33:51.599369
4.56,16:33:51.799427
4.62,16:33:51.999225
4.58,16:33:52.199137
4.56,16:33:52.399081
4.50,16:33:52.599010
4.62,16:33:52.798945
4.59,16:33:52.998928
4.65,16:33:53.198825
4.64,16:33:53.398736
4.64,16:33:53.598832
