Measurement,Timestamp
9.35,15:33:56.820664
8.82,15:33:56.821128
8.86,15:33:56.821596
9.46,15:33:56.865849
9.74,15:33:57.639239
9.63,15:33:59.048304
9.63,15:33:59.247752
9.61,15:33:59.447733
9.60,15:33:59.642417
9.62,15:33:59.848164
9.61,15:34:00.047724
9.66,15:34:00.660236
9.64,15:34:00.859729
9.62,15:34:01.466246
9.60,15:34:02.239113
9.62,15:34:02.848172
9.66,15:34:03.248601
9.65,15:34:03.447847
9.55,15:34:03.647695
9.59,15:34:04.460169
9.67,15:34:04.659631
9.58,15:34:04.859621
9.63,15:34:05.466133
9.56,15:34:05.665513
9.64,15:34:06.066126
9.56,15:34:06.265488
9.28,15:34:06.465685
9.39,15:34:06.866173
