Measurement,Timestamp
2.87,16:34:53.041012
5.08,16:34:53.179237
2.47,16:34:53.179237
2.51,16:34:53.379450
2.49,16:34:53.580085
2.39,16:34:53.778965
2.44,16:34:53.978977
2.42,16:34:54.178911
2.46,16:34:54.378850
2.47,16:34:54.578781
2.46,16:34:54.778721
2.41,16:34:54.978653
2.50,16:34:55.178589
2.42,16:34:55.378703
2.47,16:34:55.578531
2.47,16:34:55.779686
2.50,16:34:55.978469
2.42,16:34:56.178288
2.48,16:34:56.378202
2.49,16:34:56.578136
2.45,16:34:56.778083
2.46,16:34:56.978007
2.43,16:34:57.177942
2.47,16:34:57.377876
2.49,16:34:57.577813
2.43,16:34:57.777789
2.51,16:34:57.977684
2.43,16:34:58.177622
2.48,16:34:58.377884
2.45,16:34:58.577530
2.45,16:34:58.777426
2.46,16:34:58.977719
2.49,16:34:59.177325
2.52,16:34:59.377325
2.42,16:34:59.577168
2.44,16:34:59.777103
2.46,16:34:59.977192
2.48,16:35:00.177056
2.46,16:35:00.377118
2.51,16:35:00.576950
2.41,16:35:00.776935
2.45,16:35:00.976801
2.42,16:35:01.176769
2.48,16:35:01.376626
2.48,16:35:01.576627
2.47,16:35:01.776502
2.45,16:35:01.976436
2.46,16:35:02.176372
2.51,16:35:02.376310
2.47,16:35:02.576244
2.48,16:35:02.776177
2.45,16:35:02.976138
2.50,16:35:03.176073
