Measurement,Timestamp
5.46,15:58:53.540231
5.60,15:58:53.540865
4.81,15:58:53.731976
4.93,15:58:53.921641
4.85,15:58:54.132325
4.92,15:58:54.321305
4.96,15:58:54.532391
4.83,15:58:54.731989
4.90,15:58:54.921302
4.84,15:58:55.132383
4.88,15:58:55.332057
4.88,15:58:55.531967
4.89,15:58:55.732034
4.95,15:58:55.921289
4.96,15:58:56.121357
4.93,15:58:56.532037
5.01,15:58:56.731921
4.89,15:58:56.932040
4.91,15:58:57.132046
4.96,15:58:57.331995
4.94,15:58:57.521894
4.96,15:58:57.732706
4.99,15:58:57.932504
4.94,15:58:58.121290
4.93,15:58:58.332327
4.91,15:58:58.521282
4.91,15:58:58.732349
4.96,15:58:58.921558
4.90,15:58:59.132336
4.91,15:58:59.331987
4.91,15:58:59.531909
4.85,15:58:59.721217
4.86,15:58:59.932316
4.82,15:59:00.121229
4.83,15:59:00.321337
4.94,15:59:00.732021
4.90,15:59:00.921218
4.92,15:59:01.121304
4.87,15:59:01.531938
4.96,15:59:01.731868
4.86,15:59:01.921232
4.93,15:59:02.132340
4.86,15:59:02.321226
4.88,15:59:02.521341
4.88,15:59:02.932130
4.94,15:59:03.121386
4.95,15:59:03.332428
4.91,15:59:03.521179
4.93,15:59:03.732291
