Measurement,Timestamp
0.90,15:36:49.532312
0.91,15:36:49.556978
1.23,15:36:49.756993
1.26,15:36:49.956916
1.25,15:36:50.156969
1.20,15:36:50.556905
1.22,15:36:50.757274
1.17,15:36:50.956911
1.18,15:36:51.156980
1.24,15:36:51.356970
1.23,15:36:51.557032
1.19,15:36:51.757045
1.20,15:36:51.956890
1.22,15:36:52.156941
1.20,15:36:52.356918
1.21,15:36:52.556864
1.19,15:36:52.756886
1.23,15:36:52.956848
1.20,15:36:53.156884
1.18,15:36:53.356843
1.23,15:36:53.556986
1.22,15:36:53.756848
1.19,15:36:53.956864
1.21,15:36:54.156839
1.25,15:36:54.356822
1.26,15:36:54.556970
1.19,15:36:54.756821
1.16,15:36:54.956873
1.23,15:36:55.156877
1.18,15:36:55.356815
1.17,15:36:55.556888
1.24,15:36:55.757146
1.20,15:36:55.956852
1.23,15:36:56.156830
1.26,15:36:56.356824
1.24,15:36:56.556837
1.22,15:36:56.756918
1.20,15:36:56.956767
1.21,15:36:57.156846
1.23,15:36:57.356840
1.20,15:36:57.556940
1.21,15:36:57.756810
1.22,15:36:57.956822
1.21,15:36:58.156788
1.19,15:36:58.356877
1.23,15:36:58.556824
1.22,15:36:58.756833
1.17,15:36:58.956855
1.20,15:36:59.156832
1.19,15:36:59.356809
1.21,15:36:59.556865
