RSSI,xCoordinate,distanceStdDevM,BSSID,distance,yCoordinate,numAttemptedMeasurements,zCoordinate,time,rangingTimestampMillis,SSID,numSuccessfulMeasurements
-72,10.0,0.181,b0:6a:41:87:63:a6,6.709,6.0,8,0.0,1676377616872,568077673,FTM_responder_7,7
-72,10.0,0.326,b0:6a:41:87:63:a6,6.293,6.0,8,0.0,1676377617117,568077934,FTM_responder_7,7
-72,10.0,0.286,b0:6a:41:87:63:a6,6.868,6.0,8,0.0,1676377617302,568078118,FTM_responder_7,7
-71,10.0,0.197,b0:6a:41:87:63:a6,6.981,6.0,8,0.0,1676377617501,568078317,FTM_responder_7,7
-71,10.0,0.166,b0:6a:41:87:63:a6,6.903,6.0,8,0.0,1676377617681,568078488,FTM_responder_7,7
-71,10.0,0.154,b0:6a:41:87:63:a6,6.949,6.0,8,0.0,1676377617889,568078684,FTM_responder_7,7
-71,10.0,0.226,b0:6a:41:87:63:a6,6.793,6.0,8,0.0,1676377618083,568078873,FTM_responder_7,7
-71,10.0,0.102,b0:6a:41:87:63:a6,6.912,6.0,8,0.0,1676377618295,568079055,FTM_responder_7,7
-73,10.0,0.252,b0:6a:41:87:63:a6,6.718,6.0,8,0.0,1676377618432,568079246,FTM_responder_7,7
-71,10.0,0.241,b0:6a:41:87:63:a6,6.874,6.0,8,0.0,1676377618619,568079431,FTM_responder_7,7
-68,10.0,0.163,b0:6a:41:87:63:a6,6.721,6.0,8,0.0,1676377618850,568079644,FTM_responder_7,7
-68,10.0,0.175,b0:6a:41:87:63:a6,6.881,6.0,8,0.0,1676377619045,568079843,FTM_responder_7,7
-68,10.0,0.202,b0:6a:41:87:63:a6,6.7,6.0,8,0.0,1676377619273,568080033,FTM_responder_7,7
-70,10.0,0.313,b0:6a:41:87:63:a6,6.618,6.0,8,0.0,1676377619504,568080245,FTM_responder_7,7
-72,10.0,0.199,b0:6a:41:87:63:a6,6.827,6.0,8,0.0,1676377619733,568080438,FTM_responder_7,7
-67,10.0,0.184,b0:6a:41:87:63:a6,6.678,6.0,8,0.0,1676377619874,568080620,FTM_responder_7,7
-66,10.0,0.103,b0:6a:41:87:63:a6,6.733,6.0,8,0.0,1676377620082,568080825,FTM_responder_7,7
-65,10.0,0.117,b0:6a:41:87:63:a6,6.565,6.0,8,0.0,1676377620245,568081026,FTM_responder_7,7
-68,10.0,0.133,b0:6a:41:87:63:a6,6.671,6.0,8,0.0,1676377620431,568081213,FTM_responder_7,7
-65,10.0,0.106,b0:6a:41:87:63:a6,6.738,6.0,8,0.0,1676377620625,568081417,FTM_responder_7,7
-65,10.0,0.144,b0:6a:41:87:63:a6,6.553,6.0,8,0.0,1676377620838,568081619,FTM_responder_7,7
-65,10.0,0.106,b0:6a:41:87:63:a6,6.668,6.0,8,0.0,1676377621111,568081817,FTM_responder_7,7
-61,10.0,0.111,b0:6a:41:87:63:a6,6.643,6.0,8,0.0,1676377621270,568082021,FTM_responder_7,7
-65,10.0,0.084,b0:6a:41:87:63:a6,6.71,6.0,8,0.0,1676377621456,568082227,FTM_responder_7,7
-66,10.0,0.067,b0:6a:41:87:63:a6,6.709,6.0,8,0.0,1676377621654,568082425,FTM_responder_7,7
-63,10.0,0.169,b0:6a:41:87:63:a6,6.646,6.0,8,0.0,1676377622131,568082814,FTM_responder_7,7
-64,10.0,0.068,b0:6a:41:87:63:a6,6.715,6.0,8,0.0,1676377622473,568083026,FTM_responder_7,7
-64,10.0,0.083,b0:6a:41:87:63:a6,6.64,6.0,8,0.0,1676377622507,568083234,FTM_responder_7,7
-64,10.0,0.14,b0:6a:41:87:63:a6,6.606,6.0,8,0.0,1676377622696,568083440,FTM_responder_7,7
-65,10.0,0.171,b0:6a:41:87:63:a6,6.681,6.0,8,0.0,1676377622937,568083644,FTM_responder_7,7
-65,10.0,0.121,b0:6a:41:87:63:a6,6.703,6.0,8,0.0,1676377623202,568083840,FTM_responder_7,7
-65,10.0,0.066,b0:6a:41:87:63:a6,6.696,6.0,8,0.0,1676377623311,568084028,FTM_responder_7,7
-65,10.0,0.13,b0:6a:41:87:63:a6,6.606,6.0,8,0.0,1676377623632,568084291,FTM_responder_7,7
-66,10.0,0.109,b0:6a:41:87:63:a6,6.646,6.0,8,0.0,1676377623771,568084446,FTM_responder_7,7
-66,10.0,0.178,b0:6a:41:87:63:a6,6.549,6.0,8,0.0,1676377623919,568084700,FTM_responder_7,7
-65,10.0,0.134,b0:6a:41:87:63:a6,6.565,6.0,8,0.0,1676377624202,568084900,FTM_responder_7,7
-66,10.0,0.154,b0:6a:41:87:63:a6,6.54,6.0,8,0.0,1676377624502,568085075,FTM_responder_7,7
-66,10.0,0.152,b0:6a:41:87:63:a6,6.571,6.0,8,0.0,1676377624578,568085259,FTM_responder_7,7
-66,10.0,0.115,b0:6a:41:87:63:a6,6.621,6.0,8,0.0,1676377624952,568085461,FTM_responder_7,7
-66,10.0,0.078,b0:6a:41:87:63:a6,6.631,6.0,8,0.0,1676377625002,568085648,FTM_responder_7,7
-66,10.0,0.125,b0:6a:41:87:63:a6,6.549,6.0,8,0.0,1676377625179,568085839,FTM_responder_7,7
-65,10.0,0.123,b0:6a:41:87:63:a6,6.684,6.0,8,0.0,1676377625337,568086033,FTM_responder_7,7
-65,10.0,0.227,b0:6a:41:87:63:a6,6.553,6.0,8,0.0,1676377625665,568086219,FTM_responder_7,7
-65,10.0,0.22,b0:6a:41:87:63:a6,6.531,6.0,8,0.0,1676377625752,568086415,FTM_responder_7,7
-65,10.0,0.148,b0:6a:41:87:63:a6,6.646,6.0,8,0.0,1676377626195,568086614,FTM_responder_7,7
-65,10.0,0.124,b0:6a:41:87:63:a6,6.525,6.0,8,0.0,1676377626239,568086809,FTM_responder_7,7
-65,10.0,0.218,b0:6a:41:87:63:a6,6.609,6.0,8,0.0,1676377626273,568087020,FTM_responder_7,7
-65,10.0,0.234,b0:6a:41:87:63:a6,6.521,6.0,8,0.0,1676377626564,568087201,FTM_responder_7,7
-65,10.0,0.149,b0:6a:41:87:63:a6,6.609,6.0,8,0.0,1676377626773,568087410,FTM_responder_7,7
-65,10.0,0.119,b0:6a:41:87:63:a6,6.553,6.0,8,0.0,1676377627053,568087623,FTM_responder_7,7
-65,10.0,0.145,b0:6a:41:87:63:a6,6.656,6.0,8,0.0,1676377627121,568087822,FTM_responder_7,7
-65,10.0,0.202,b0:6a:41:87:63:a6,6.606,6.0,8,0.0,1676377627528,568088007,FTM_responder_7,7
-65,10.0,0.129,b0:6a:41:87:63:a6,6.649,6.0,8,0.0,1676377627585,568088210,FTM_responder_7,7
-65,10.0,0.06,b0:6a:41:87:63:a6,6.59,6.0,8,0.0,1676377627763,568088405,FTM_responder_7,7
-65,10.0,0.064,b0:6a:41:87:63:a6,6.553,6.0,8,0.0,1676377628045,568088601,FTM_responder_7,7
-65,10.0,0.214,b0:6a:41:87:63:a6,6.571,6.0,8,0.0,1676377628099,568088801,FTM_responder_7,7
-65,10.0,0.07,b0:6a:41:87:63:a6,6.6,6.0,8,0.0,1676377628644,568089012,FTM_responder_7,7
-65,10.0,0.18,b0:6a:41:87:63:a6,6.521,6.0,8,0.0,1676377628699,568089211,FTM_responder_7,7
-66,10.0,0.174,b0:6a:41:87:63:a6,6.571,6.0,8,0.0,1676377628730,568089411,FTM_responder_7,7
-66,10.0,0.101,b0:6a:41:87:63:a6,6.63,6.0,8,0.0,1676377629098,568089608,FTM_responder_7,7
-66,10.0,0.196,b0:6a:41:87:63:a6,6.571,6.0,8,0.0,1676377629195,568089811,FTM_responder_7,7
-66,10.0,0.216,b0:6a:41:87:63:a6,6.549,6.0,8,0.0,1676377629511,568090015,FTM_responder_7,7
-66,10.0,0.074,b0:6a:41:87:63:a6,6.684,6.0,8,0.0,1676377629786,568090221,FTM_responder_7,7
-66,10.0,0.206,b0:6a:41:87:63:a6,6.571,6.0,8,0.0,1676377629894,568090421,FTM_responder_7,7
-67,10.0,0.095,b0:6a:41:87:63:a6,6.631,6.0,8,0.0,1676377629984,568090593,FTM_responder_7,7
-67,10.0,0.148,b0:6a:41:87:63:a6,6.646,6.0,8,0.0,1676377630309,568090794,FTM_responder_7,7
-65,10.0,0.105,b0:6a:41:87:63:a6,6.671,6.0,8,0.0,1676377630420,568090989,FTM_responder_7,7
-66,10.0,0.107,b0:6a:41:87:63:a6,6.675,6.0,8,0.0,1676377630654,568091188,FTM_responder_7,7
-65,10.0,0.123,b0:6a:41:87:63:a6,6.684,6.0,8,0.0,1676377631069,568091388,FTM_responder_7,7
-66,10.0,0.08,b0:6a:41:87:63:a6,6.74,6.0,8,0.0,1676377631154,568091591,FTM_responder_7,7
-64,10.0,0.086,b0:6a:41:87:63:a6,6.696,6.0,8,0.0,1676377631196,568091795,FTM_responder_7,7
-71,10.0,0.097,b0:6a:41:87:63:a6,6.496,6.0,8,0.0,1676377631439,568091995,FTM_responder_7,7
-75,10.0,0.291,b0:6a:41:87:63:a6,6.032,6.0,8,0.0,1676377631730,568092211,FTM_responder_7,7
-71,10.0,0.224,b0:6a:41:87:63:a6,6.096,6.0,8,0.0,1676377631792,568092415,FTM_responder_7,7
-73,10.0,0.1,b0:6a:41:87:63:a6,6.44,6.0,8,0.0,1676377632376,568092617,FTM_responder_7,7
-68,10.0,0.113,b0:6a:41:87:63:a6,6.503,6.0,8,0.0,1676377632460,568092836,FTM_responder_7,7
-67,10.0,0.073,b0:6a:41:87:63:a6,6.531,6.0,8,0.0,1676377632541,568093005,FTM_responder_7,7
-67,10.0,0.091,b0:6a:41:87:63:a6,6.473,6.0,8,0.0,1676377632585,568093201,FTM_responder_7,7
-66,10.0,0.197,b0:6a:41:87:63:a6,6.489,6.0,8,0.0,1676377633048,568093410,FTM_responder_7,7
-68,10.0,0.232,b0:6a:41:87:63:a6,6.56,6.0,8,0.0,1676377633189,568093613,FTM_responder_7,7
-74,10.0,0.29,b0:6a:41:87:63:a6,6.656,6.0,8,0.0,1676377633312,568093811,FTM_responder_7,7
-77,10.0,0.204,b0:6a:41:87:63:a6,6.271,6.0,8,0.0,1676377633627,568094011,FTM_responder_7,7
-68,10.0,0.144,b0:6a:41:87:63:a6,6.296,6.0,8,0.0,1676377633943,568094199,FTM_responder_7,7
-68,10.0,0.145,b0:6a:41:87:63:a6,6.44,6.0,8,0.0,1676377633981,568094415,FTM_responder_7,7
-67,10.0,0.088,b0:6a:41:87:63:a6,6.527,6.0,8,0.0,1676377634096,568094613,FTM_responder_7,7
-68,10.0,0.189,b0:6a:41:87:63:a6,6.316,6.0,8,0.0,1676377634306,568094820,FTM_responder_7,7
-68,10.0,0.143,b0:6a:41:87:63:a6,6.452,6.0,8,0.0,1676377634876,568095037,FTM_responder_7,7
-68,10.0,0.166,b0:6a:41:87:63:a6,6.304,6.0,8,0.0,1676377634935,568095245,FTM_responder_7,7
-69,10.0,0.072,b0:6a:41:87:63:a6,6.468,6.0,8,0.0,1676377634995,568095463,FTM_responder_7,7
-72,10.0,0.11,b0:6a:41:87:63:a6,6.44,6.0,8,0.0,1676377635036,568095678,FTM_responder_7,7
-76,10.0,0.137,b0:6a:41:87:63:a6,6.365,6.0,8,0.0,1676377635599,568095862,FTM_responder_7,7
-75,10.0,0.139,b0:6a:41:87:63:a6,6.156,6.0,8,0.0,1676377635741,568096084,FTM_responder_7,7
-72,10.0,0.102,b0:6a:41:87:63:a6,6.288,6.0,8,0.0,1676377635833,568096286,FTM_responder_7,7
-71,10.0,0.2,b0:6a:41:87:63:a6,6.257,6.0,8,0.0,1676377636087,568096498,FTM_responder_7,7
-73,10.0,0.21,b0:6a:41:87:63:a6,6.182,6.0,8,0.0,1676377636472,568096721,FTM_responder_7,7
-73,10.0,0.192,b0:6a:41:87:63:a6,6.318,6.0,8,0.0,1676377636556,568096925,FTM_responder_7,7
-75,10.0,0.063,b0:6a:41:87:63:a6,6.553,6.0,8,0.0,1676377636710,568097154,FTM_responder_7,7
